Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
564,Baker,Baker,Venus,109,62.5,40.3,62.5,62.5,40.3,40.3,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,v02,Approved,1994,99,"Josephine; American expatriate dancer, singer (1906-1975).",Changed from Corday Patera.,8/27/2014
565,Bakhtadze Patera,Bakhtadze Patera,Venus,50,45.5,219.5,45.5,45.5,219.5,219.5,Planetocentric  +East  0 - 360,Asia,Georgia,"Patera, paterae",PE,v15,Approved,1997,107,Kseniya; Georgian tea geneticist (1899-1978).,,5/15/2010
567,Bakisat,Bakisat,Venus,7.4,26,356.8,26,26,356.8,356.8,Planetocentric  +East  0 - 360,Europe,Caucasus,"Crater, craters",AA,v19,Approved,1997,107,Chechen first name.,,12/30/2008
572,Balch,Balch,Venus,40,29.9,282.9,29.9,29.9,282.9,282.9,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,v17,Approved,1994,99,"Emily; American economist, Nobel laureate (1867-1961).",,10/1/2006
584,Baltis Vallis,Baltis Vallis,Venus,6000,37.3,161.4,37.3,37.3,161.4,161.4,Planetocentric  +East  0 - 360,Asia,Syria,"Vallis, valles",VA,v13,Approved,1994,107,Syrian word for planet Venus.,,10/1/2006
593,Banba Corona,Banba Corona,Venus,110,-47.2,209.2,-47.2,-47.2,209.2,209.2,Planetocentric  +East  0 - 360,Europe,Ireland,"Corona, coronae",CR,v50,Approved,1997,27,Irish earth goddess.,,10/1/2006
598,Banumbirr Vallis,Banumbirr Vallis,Venus,400,-7,4,-7,-7,4,4,Planetocentric  +East  0 - 360,Oceania,Australia,"Vallis, valles",VA,v32,Approved,1997,126,Arnhemland word for planet Venus.,,10/1/2006
591,Ban Zhao,Ban Zhao,Venus,39,17.1,147,17.1,17.1,147,147,Planetocentric  +East  0 - 360,Asia,China,"Crater, craters",AA,v24,Approved,1991,102,Chinese historian (c. A.D. 35-100).,,10/1/2006
602,Baranamtarra,Baranamtarra,Venus,25.5,17.9,267.8,17.9,17.9,267.8,267.8,Planetocentric  +East  0 - 360,Asia,Assyro-Babylonian,"Crater, craters",AA,v28,Approved,1994,99,Mesopotamian queen (c. 2500 B.C.).,,10/1/2006
603,Barauka,Barauka,Venus,12.9,10.6,346.3,10.6,10.6,346.3,346.3,Planetocentric  +East  0 - 360,Africa,Nigeria,"Crater, craters",AA,v31,Approved,1997,107,Hausa (Nigeria) first name.,,10/1/2006
604,Barbale Dorsa,Barbale Dorsa,Venus,1200,15,143,15,15,143,143,Planetocentric  +East  0 - 360,Asia,Georgia,"Dorsum, dorsa",DO,v24,Approved,1997,107,Georgian sun goddess.,,12/30/2008
