Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
15434,Sapkota,Sapkota,Mercury,27.4,86.09,227.21,86.4,85.76,231.89,222.52,Planetocentric  +East  0 - 360,Asia,Nepal,"Crater, craters",AA,H-01,Approved,4-Nov-15,380,Mahananda; Nepalese poet (1896-1977).,,11/4/2015
5325,Sarmiento,Sarmiento,Mercury,95,-29.27,170.42,-28.15,-30.39,171.7,169.14,Planetocentric  +East  0 - 360,South and Central America,Argentina,"Crater, craters",AA,H-13,Approved,1979,59,Domingo Faustino; Argentine writer (1811-1888).,,10/13/2016
15177,Savage,Savage,Mercury,93,-8.59,93.41,-7.5,-9.68,94.45,92.36,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,H-09,Approved,22-Nov-13,99,Augusta; American sculptor (1892-1962).,,10/13/2016
5348,Sayat-Nova,Sayat Nova,Mercury,146,-27.98,237.3,-26.26,-29.68,239.21,235.39,Planetocentric  +East  0 - 360,Asia,Armenian,"Crater, craters",AA,H-12,Approved,1979,59,Aruthin Sayadian; Armenian/Georgian song writer (1712-1795).,,10/13/2016
5358,Scarlatti,Scarlatti,Mercury,132,40.7,258.84,42.25,39.13,260.88,256.81,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,H-03,Approved,1979,59,Domenico (1685-1757) and Alessandro (1660-1725); Italian composers.,,10/13/2016
5367,Schiaparelli Dorsum,Schiaparelli Dorsum,Mercury,374,23.26,195.7,27.25,18.86,197.24,195.48,Planetocentric  +East  0 - 360,Europe,Italy,"Dorsum, dorsa",DO,H-03,Approved,1976,80,Giovanni V.; Italian astronomer (1835-1910).,,10/13/2016
5377,Schoenberg,Schoenberg,Mercury,28,-16.06,223.92,-15.72,-16.39,224.27,223.57,Planetocentric  +East  0 - 360,Europe,Austria,"Crater, craters",AA,H-07,Approved,1976,59,Arnold; Austrian-American composer (1874-1951).,,10/13/2016
5384,Schubert,Schubert,Mercury,190,-43.21,305.74,-40.97,-45.43,308.73,302.76,Planetocentric  +East  0 - 360,Europe,Austria,"Crater, craters",AA,H-11,Approved,1976,59,Franz S.; Austrian composer (1797-1828).,,10/13/2016
5393,Scopas,Scopas,Mercury,83.16,-81.26,174.71,-79.91,-82.61,183.63,165.79,Planetocentric  +East  0 - 360,Europe,Greek,"Crater, craters",AA,H-15,Approved,1976,59,Greek sculptor and architect (fl. 4th century B.C.).,,3/7/2011
5408,Sei,Sei,Mercury,137,-64.61,271.41,-62.98,-66.2,275.17,267.65,Planetocentric  +East  0 - 360,Asia,Japan,"Crater, craters",AA,H-11,Approved,1976,59,Shonagun; Japanese diarist and poet (c. 966-1013).,,10/13/2016
14972,Seuss,Seuss,Mercury,64,7.65,33.16,8.42,6.88,33.94,32.39,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,H-10,Approved,24-Apr-12,75,Theodor Seuss Geisel; American author and cartoonist (1904-1991).,,10/13/2016
